archetype_id,archetype_name,humanoid_degree,core_silhouette,primary_palette,baseline_temperament,intellect_band,baseline_difficulty,level_band_min,level_band_max,common_stat_bias,common_roles,equipment_tendency,zone_affinities,archetype_prompt_core,design_notes
goblin,Goblin,humanoid,"small wiry frame, long ears, narrow shoulders, quick hands","dull green skin, dirty brown rags, scrap iron accents","cowardly, opportunistic, noisy in groups",low,very_low,0,16,dexterity|strength,"skirmisher|cutpurse|slinger|scavenger","tattered cloth, scrap knives, bone hooks, crude slings","warrens|ruins|mine edges|trash pits","Small green goblin, weak low-level enemy, anatomically humanoid but undersized, tattered clothes, poor gear, sly expression, quick nervous posture, grounded fantasy monster.","Keep goblins weak, dirty, and mean rather than comic. Never let them read as elite soldiers."
hobgoblin,Hobgoblin,humanoid,"shorter heavy frame, broad torso, thick neck, pig-like face","pinkish skin, muddy leather, dented iron, soot-brown cloth","pushy, territorial, cruelly practical",low,low,4,24,strength,"bruiser|guard|overseer|clubman","crude armor, clubs, cleavers, hooked polearms","stockades|yard camps|ruined forts|kiln compounds","Short bulky hobgoblin, pig-like face, pinkish skin, heavier and more brutal than goblins, rough armor, grounded fantasy monster.","Should feel like a low-tier bully caste, not an orc reskin."
kobold,Kobold,humanoid,"small athletic frame, long draconic muzzle, quick limbs","red scales, soot-dark wraps, copper and charcoal accents","restless, cunning, skittish but bold in packs",low_medium,low,4,28,dexterity|intelligence,"runner|knife-fighter|trap-keeper|fire-tender","patched wraps, short spears, knives, trap tools","mine tunnels|kilns|cracks|lava-chambers","Red kobold, small athletic draconic-faced humanoid, elongated snout, lean posture, grounded fantasy monster.","Avoid cute dragonling energy. Keep them feral, agile, and low-status."
ratman,Ratman,humanoid,"hunched humanoid frame, rat head, thin tail, quick twitchy hands","yellowed fur, sickly pink skin, grime-brown wraps","furtive, swarming, food-driven, spiteful",low_medium,low_medium,8,32,dexterity|intelligence,"skulker|knife-runner|plague scavenger|burrow caster","stitched rags, small blades, hooks, stolen tools","sewers|granaries|cellars|plague yards","Ratman, short yellow-furred humanoid with rat face, twitchy posture, scavenger gear, grounded fantasy monster.","Push disease-yard and vermin energy without turning them into horror sludge."
lizardman,Lizardman,humanoid,"athletic reptilian frame, lizard head, long tail, longer reach","green scales, marsh leather, bone and bronze accents","watchful, tribal, territorial",medium,low_medium,12,40,strength|dexterity,"spearman|hunter|shield-bearer|stalker","hide wraps, spears, clubs, bone charms","marshes|riverbanks|flooded ruins|reed villages","Green lizardman, anatomically near-human but reptilian, scaled skin, lizard head, tail, tribal gear, grounded fantasy monster.","Should feel more disciplined than goblins or ratmen."
satyr,Satyr,semi_humanoid,"lean upper body, goat legs, horns, agile stance","earth-brown fur, olive skin, moss cloth, weathered bronze","proud, mocking, alert, territorial",medium,medium,20,52,dexterity|intelligence,"raider|duelist|pipe-caller|grove-guard","draped cloth, light blades, ritual staves, hunting gear","groves|moon shrines|thorn courts|old pleasure ruins","Satyr, horned goat-legged humanoid monster, agile and sly, woodland or ruin-linked, grounded fantasy monster.","Keep satyrs uncanny and old-world, not cheerful festival caricatures."
gnoll,Gnoll,humanoid,"lanky hyena-headed frame, long arms, ragged mane, predatory hunch","dusty tan fur, scarred hide, bone-white teeth, rusted metal","pack-minded, aggressive, cruelly hungry",low_medium,low_medium,8,36,strength|dexterity,"pack raider|tracker|mauler|howler","hide straps, scavenged shields, axes, hooked spears","badlands|quarries|thorn scrub|grave roads","Gnoll, hyena-faced humanoid monster, lanky but dangerous, ragged mane, scavenger war gear, grounded fantasy monster.","Good for early-mid pack enemies without using human bandits."
orc,Orc,humanoid,"broad tall frame, heavy jaw, dense shoulders, practical war posture","olive-grey or muted green skin, dark leather, iron, faded red cloth","martial, territorial, blunt, disciplined in warbands",low_medium,medium,12,44,strength,"raider|shield-bearer|brute|warband guard","practical armor, axes, cleavers, shields, spears","fort ruins|stockades|frontier camps|stone roads","Orc, broad heavy humanoid monster, practical war gear, grounded fantasy monster.","Keep orcs soldierly and rough, not noble-high-fantasy or hyper-bestial."
beastman,Beastman,semi_humanoid,"mixed horned or bestial humanoid frame, strong torso, uneven feral silhouette","brown fur, hide, horn, dark leather, muted bone","feral, herd-minded, territorial, dimly ritualistic",low_medium,medium,12,40,strength|dexterity,"raider|ambusher|herd brute|totem guard","hide wraps, clubs, hatchets, horn ornaments","thorn scrub|groves|broken shrines|hunting grounds","Beastman, horned or animal-faced humanoid monster, rough tribal gear, grounded fantasy monster.","Useful as a broad family bucket when you want non-human raiders without locking into a single animal head type."
bogling,Bogling,semi_humanoid,"short squat amphibious frame, broad head, damp limbs","mud-green skin, algae-brown cloth, dull reed tones","timid alone, nasty in clusters, nest-minded",low,very_low,0,20,dexterity|intelligence,"dart-thrower|reed lurker|bog scavenger|mud hexer","reed wraps, crude darts, nets, driftwood charms","bogs|reed beds|ditchbanks|sunken paths","Bogling, squat marsh creature with amphibian features, small weak enemy, damp skin, crude marsh gear, grounded fantasy monster.","Useful as a non-human starter archetype for wetland zones."
ogre,Ogre,semi_humanoid,"large barrel chest, heavy limbs, thick head and jaw","grey-tan skin, patched hides, dirty iron, old rope","slow, stubborn, simple, food-driven",low_medium,medium,20,48,strength,"brute|gate-breaker|labor brute|club carrier","huge clubs, chains, hooks, hide aprons","stockades|quarries|kilns|bridge camps","Ogre, large heavy brute monster, broad simple silhouette, crude gear, grounded fantasy monster.","Should feel dangerous through mass, not through elite martial polish."
harpy,Harpy,semi_humanoid,"gaunt winged frame, hooked limbs, birdlike head or face","dirty feathers, pale skin, old bronze trinkets, storm-grey cloth","shrill, territorial, opportunistic",medium,medium,16,44,dexterity,"skirmisher|dive attacker|shrine scavenger|cliff lurker","light wraps, talon trinkets, bone knives","cliffs|bell towers|wind ruins|coastal stones","Harpy, gaunt feathered winged monster, agile aerial scavenger, grounded fantasy monster.","Keep them harsh and scavenger-like, not glamorous."
spiderkin,Spiderkin,semi_humanoid,"monstrous upper torso on arachnid lower body, multiple eyes, chitin limbs, web-dominant silhouette","dark chitin, ash-brown flesh, muted violet-black, web-white accents","patient, predatory, nest-minded, cunning",medium,medium_high,24,60,dexterity|intelligence,"ambusher|web trapper|brood guard|venom caster","light ritual wraps, bone charms, web bundles, no heavy forged gear","caves|crypt edges|silk warrens|ruined underways","Spiderkin, monstrous upper torso on arachnid lower body, multi-eyed hybrid monster, chitinous limbs, web-heavy silhouette, grounded fantasy monster.","Should feel alien and dangerous without turning into glossy high-fantasy insect royalty."
gargoyle,Gargoyle,semi_humanoid,"stone-winged sentinel silhouette, clawed limbs, hunched perch pose","weathered grey stone, oxidized bronze, black cracks","silent, watchful, patient",low_medium,medium_high,36,72,strength|intelligence,"sentinel|percher|ruin guardian|dive brute","integrated stone claws, no crafted gear by default","cathedrals|ruins|bridges|grave keeps","Gargoyle, weathered stone-bodied winged monster, ruin sentinel, grounded fantasy monster.","Works well once zones begin feeling older and more cursed."
carrion_hound,Carrion Hound,beast,"gaunt four-legged scavenger, long muzzle, sharp ribs, low stalking backline","grey-brown hide, patchy fur, bone-white teeth, mud stains","food-driven, wary, persistent",animal,very_low,0,24,dexterity|strength,"harrier|pack hound|grave scavenger","no crafted gear, maybe rope scraps or tags","graveyards|battlefields|cellars|waste grounds","Carrion hound, gaunt scavenger beast, weak early enemy, low stalking posture, grounded fantasy monster.","Important non-humanoid anchor for keeping PvE from becoming all biped silhouettes."
