sequence,weapon_name,weapon_type,weapon_family,allowed_class,damage_category,flavor_text,base_level,drop_min_level,drop_max_level_raw,drop_max_level_capped,prompt_item_description
1,Iron Shortsword,Sword,melee,warrior,strength,A village blade made for drills and desperate moments.,0,0,10,10,"basic infantry shortsword; straight double-edged blade with short fuller near the guard; plain rectangular crossguard with squared ends; small iron wheel pommel; grip bound in coarse leather cord; material: weathered low-carbon iron with matte grey tone and faint oxidation; craftsmanship: simple utilitarian forge work with visible hammer impressions and uneven edge geometry; details: close crop on guard and grip with pommel visible, only a short starting section of blade visible, scuffed flats and dull edge shine from neglect; magic: none"
2,Brackenhilt,Sword,melee,warrior,strength,"Mud, rain, and rot have tested the grip more than battle ever did.",4,0,14,14,"utilitarian marsh blade; short straight double-edged sword with broad base and tapering point; simple straight crossguard bar; small spherical pommel; grip wrapped in dark green-brown leather strips; material: weathered iron with mottled staining and surface pitting from damp environments; craftsmanship: functional but rough forge work with visible hammer dents and mismatched bevels; details: close crop on guard and grip with pommel visible, only a short blade section visible, peat staining near the guard and a damp-darkened wrap seam; magic: none"
3,Woodcutter's Axe,Axe,melee,warrior,strength,"Where steel is scarce, tools become weapons.",8,0,18,18,"one-handed woodcutter's axe; crude wedge-shaped axe head with oversized eye and uneven cutting edge; head slightly twisted and asymmetrical from rushed hand forging; long wooden haft entering from lower-left frame edge and cropped by the border; material: rough low-carbon iron with pitting, dull grey tone, and patchy oxidation; craftsmanship: improvised village forge work with heavy hammer scars and poor edge geometry; details: edge shows chips and flat spots, head sits slightly off-center on the haft, simple split-wood wedge and rope wrap bind the head, haft is pale ash with splinters and resin stains near the grip; magic: none"
4,Greyfen Blade,Sword,melee,warrior,strength,Fen mud cakes beneath the guard where the blade has worked too often in the wet.,12,2,22,22,"short one-handed swamp travel sword; straight narrow double-edged blade with thick spine; minimal straight iron crossguard; small wheel pommel; grip wrapped in dark green-brown leather strips; material: rough iron with dull weathered finish and patchy oxidation; craftsmanship: simple practical make from a fenland smith with heavy grind marks; details: close crop on guard and grip with pommel visible, only a short blade section visible, peat residue packed under the guard and small edge nicks from hard cuts; magic: none"
5,Plainsteel Longsword,Sword,melee,warrior,strength,Good steel does not need a name.,16,6,26,26,"basic arming longsword; straight double-edged blade with long fuller; plain steel crossguard with squared ends; wheel pommel; grip bound in brown leather wrap; material: mid-quality steel with matte sheen and cleaner finish than iron; craftsmanship: reliable workshop production with even grind lines and consistent symmetry; details: close crop on guard and grip with pommel visible, only a short blade section visible, light scratches and subtle edge wear from routine training; magic: none"
6,Valdaryn,Sword,melee,warrior,strength,Blades from Valdaryn travel farther than the smiths who forged them.,20,10,30,30,"valley-forged longsword from Valdaryn; straight double-edged blade with narrow fuller; plain steel crossguard and disk pommel; grip wrapped in dark leather with visible cord ridges; material: tempered steel with soft satin finish; craftsmanship: careful workshop production with clean symmetrical lines and truer bevels; details: close crop on guard and grip with pommel visible, only a short blade section visible, faint sharpening patterns and tidy wear at the guard shoulders; magic: none"
7,Bearded War Axe,Axe,melee,warrior,strength,Forged to hook shields and hold fast.,24,14,34,34,"one-handed bearded war axe; pronounced bearded axe head with extended lower blade curve and reinforced eye; cutting edge sweeping forward; straight wooden haft entering from the lower-left frame edge and visibly cropped by the border; material: dark low-grade steel with a matte finish and scattered forge scale; craftsmanship: practical battlefield smithing with cleaner symmetry than a tool-axe but still rough at the shoulders; details: edge is kept serviceable with uneven sharpening lines, cheek plates show scratches and small dents, a thin iron collar and two riveted langets protect the haft near the head, grip has a simple leather wrap darkened by sweat; magic: none"
8,Redmark Sabre,Sword,melee,warrior,strength,"The mark was meant for the forge ledger, not the battlefield.",28,18,38,38,"light cavalry sabre; slim curved blade with shallow fuller along the spine; small steel guard with gently angled quillons; round pommel; grip wrapped in dark leather; material: practical armory steel with muted reflection; craftsmanship: competent military manufacture with improved balance and cleaner grind; details: close crop on guard and grip with pommel visible, only a short blade section visible, distinct red paint ledger-mark near the base and scuffs from saddle carry; magic: none"
9,Tempered Longblade,Sword,melee,warrior,strength,"The heat was right, and the steel remembers.",32,22,42,42,"one-handed tempered longsword; straight double-edged blade with long narrow fuller; simple steel crossguard with slightly flared tips; wheel pommel; grip wrapped in dark brown leather over cord risers; material: properly tempered steel with smooth satin sheen and even coloration; craftsmanship: skilled forge work with refined geometry and truer edge alignment; details: close crop on guard and grip with pommel visible, only a short blade section visible, subtle heat-tint at the shoulder and fine sharpening lines kept neat; magic: none"
10,Frosthollow Axe,Axe,melee,warrior,strength,"The hollow is cold, the steel colder.",36,26,46,46,"one-handed northern war axe known as the Frosthollow Axe; compact wedge-shaped axe head with elongated cutting edge and thick reinforced eye; cutting edge gently curved for controlled chopping strikes; straight hardwood haft entering from the lower-left frame edge and visibly cropped by the border; material: properly tempered steel with a pale cold-grey satin surface and faint cloudy temper pattern; craftsmanship: sturdy mountain-forge work emphasizing balance and impact strength; details: edge is straighter and truer than earlier axes, fine filing at the shoulder, small maker's stamp near the eye, steel collar and riveted langets hug the haft, ash haft has tight grain with a darker grip stain and tidy wrap seam; magic: none"
11,Damascus Steel,Sword,melee,warrior,strength,"The pattern runs deep, and so does the edge.",40,30,50,50,"one-handed pattern-welded longsword commonly known as Damascus steel; straight double-edged blade with long central fuller; simple straight steel crossguard with squared tips; round wheel pommel; grip wrapped in dark brown leather over cord risers; material: layered pattern-welded steel with flowing watered grain patterns; craftsmanship: skilled smithing using repeated folding and forge-welding for strong layered steel; details: close crop on guard and grip with pommel visible, only a short blade section visible, damascus grain catches light like slow water, edge kept keen with fine regular honing; magic: none"
12,Valenmark,Sword,melee,warrior,strength,"The mark of Valen is earned in the forge, not the field.",44,34,54,54,"one-handed longsword bearing the Valenmark maker’s stamp; straight double-edged blade with long narrow fuller; clean steel crossguard with slightly flared tips; round wheel pommel; grip wrapped in dark brown leather over cord risers; material: well-refined tempered steel with smooth satin sheen; craftsmanship: disciplined armory forge work known for consistency and balance; details: close crop on guard and grip with pommel visible, only a short blade section visible, maker’s stamp sits just above the guard beside thin geometric ward-lines etched into the shoulder, etching is clean and does not glow; magic: faint wardwork etched near the mark, mostly inert"
13,Knight's Arming Sword,Sword,melee,warrior,strength,"Built for armor, duty, and the long memory of war.",48,38,58,58,"one-handed knight's arming sword designed for armored combat; straight double-edged blade with long narrow fuller; sturdy straight steel crossguard with slightly widened tips; large wheel pommel providing strong balance; grip wrapped in dark brown leather over pronounced cord risers for secure gauntleted grip; material: well-tempered high-quality steel with smooth satin sheen and refined edge geometry; craftsmanship: professional armory smithing with precise symmetry and excellent balance; details: close crop on guard and grip with pommel visible, only a short blade section visible, crossguard bears a thin engraved litany line and tiny pinprick inlays that catch light like frost, no open glow; magic: minor oath-warding bound to the guard engraving"
14,Durnholde Axe,Axe,melee,warrior,strength,The walls of Durnholde stand for a reason.,52,42,62,62,"one-handed military axe associated with the fortress of Durnholde; compact broad axe head with thick reinforced eye, slightly flared cutting edge, and a strong square poll; head is seated square on the haft with no cant or twist at the eye; straight hardwood haft entering from the lower-left frame edge and visibly cropped by the border; material: well-forged tempered steel with a muted grey satin surface and cleaner grind; craftsmanship: disciplined garrison smithing with consistent bevels and crisp shoulder lines; details: tight-fitting steel collar with short riveted langets only near the eye (not running far down the haft), haft is a single solid round ash shaft with visible grain, grip has a thin oiled leather wrap with neat stitching (no bulky barrel), a small brass inlay pin marks the maker near the eye, minor edge nicks and fine sharpening lines remain from service; magic: none"
15,Rivenspire Greatsword,Sword,melee,warrior,strength,Rivenspire steel is shaped for long battles and longer roads.,56,46,66,66,"two-handed greatsword of Rivenspire make; long straight double-edged blade with extended fuller and strong taper; wide straight crossguard with slightly downward angled quillons; large wheel pommel for balance; long two-handed grip wrapped in dark leather over cord risers; material: high-quality tempered steel with cool grey satin sheen; craftsmanship: skilled highland forge work emphasizing strength, balance, and endurance; details: close crop on guard and grip with pommel visible, only a short blade section visible, shallow rune-scribing rides the fuller like seam work and only shows at certain angles, edge polish is bright and disciplined; magic: restrained endurance warding scribed along the fuller"
16,Blackmoor Cleaver,Axe,melee,warrior,strength,A heavy edge for problems best solved quickly.,60,50,70,70,"one-handed heavy cleaver axe known as the Blackmoor Cleaver; broad rectangular chopping edge with a thick spine-like back and a heavy reinforced eye; blunt square poll for brutal follow-through; straight hardwood haft entering from the lower-left frame edge and visibly cropped by the border; material: darkened tempered steel with muted satin finish and marsh-stained patina; craftsmanship: rugged frontier smithing emphasizing weight-forward chopping power over elegance; details: broad face shows coarse grind lines and impact nicks, shoulder corners are slightly rounded from hard use, iron collar and thick langets reinforce the haft, grip is wrapped in dark weathered leather with cord risers pressed flat, a shallow line of bog-runes is scratched into the collar and sealed under soot-black oil so it only catches light at certain angles; magic: faint ward-scribing on the collar, subtle and contained (no visible glow)"
17,Gilded Bastard Sword,Sword,melee,warrior,strength,The gold is for the eye; the steel is for the rest.,64,54,74,74,"hand-and-a-half bastard sword with refined proportions; straight double-edged blade with extended fuller and strong taper; elegant straight steel crossguard with gently flared tips accented with restrained gilded detailing; large wheel pommel with a subtle gold inlay ring; long grip suitable for one or two hands wrapped in dark leather over pronounced cord risers; material: high-quality tempered steel with smooth satin sheen; craftsmanship: skilled noble armory smithing combining battlefield durability with modest decorative gilding; details: close crop on guard and grip with pommel visible, only a short blade section visible, gilded lines hide micro-etched sigils under the gold leaf and a faint warm threadlight lives inside the inlay when viewed in shadow; magic: quiet court-bound sigilwork sealed under gilding"
18,Harthorn,Axe,melee,warrior,strength,Steel that bends less than the men who carry it.,68,58,78,78,"one-handed war axe known as Harthorn; narrow bearded axe head with a deep hook at the heel and a stout reinforced eye; cutting edge has a hard clean arc meant to bite and hold; straight hardwood haft entering from the lower-left frame edge and visibly cropped by the border; material: high-carbon tempered steel with cool grey satin sheen and tight grain; craftsmanship: disciplined forge work prioritizing resilience, edge retention, and clean geometry; details: precise bevel transitions, fine filework around the eye, long steel langets and a fitted collar lock the head to the haft, grip is dark leather with a tight spiral wrap and a slightly raised palm swell, decoration is minimal and functional, thin oath-runes are etched as hairline marks along the langets and around the collar with no open glow; magic: minor oath-warding bound into the etching, restrained and steady"
19,Highguard Claymore,Sword,melee,warrior,strength,The Highguard’s answer to crowded battlefields.,72,62,82,82,"two-handed claymore known as the Highguard Claymore; long straight double-edged blade with extended fuller and powerful taper; wide forward-sloping crossguard with distinctive downward angled quillons; large scent-stopper style pommel providing strong counterbalance; long two-handed grip wrapped in dark leather over pronounced cord risers; material: high-quality tempered steel with cool satin sheen and clean grind lines; craftsmanship: elite armory smithing built for disciplined battlefield use; details: close crop on guard and grip with pommel visible, only a short blade section visible, guard engraving is precise and severe, pale threadlines sit within the fuller like sewn light and remain contained; magic: disciplined ward-channeling bound to guard and fuller, faint but active"
20,Stormvale Axe,Axe,melee,warrior,strength,A quiet charge sleeps along the edge.,76,66,86,86,"one-handed war axe known as the Stormvale Axe; broad slightly forward-weighted axe head with reinforced eye and a controlled curved cutting edge; straight hardwood haft entering from the lower-left frame edge and visibly cropped by the border; material: storm-forged tempered steel with cool bluish-grey tone and lightning-like grain lines running through the cheeks; craftsmanship: high-skill valley forge work combining refined balance with battlefield durability; details: etched channel-lines near the edge catch light as faint pale-blue filaments, a restrained glow stays trapped inside the steel grain and never spills outward, collar and langets are cleanly fitted, haft is dark ash with tight grain and a worn but well-kept grip wrap; magic: subtle storm-aspected enchantment, dormant until impact"
21,Silvermark Longblade,Sword,melee,warrior,strength,The mark near the guard glows faintly when danger draws close.,80,70,90,90,one-handed enchanted longsword known as the Silvermark Longblade; straight double-edged blade with long narrow fuller and elegant taper to a refined point; clean steel crossguard with gently flared tips; round wheel pommel; grip wrapped in dark leather over cord risers; material: polished tempered steel with soft silver-grey sheen; craftsmanship: masterful armory smithing with precise symmetrical grind lines and refined proportions; details: small engraved silver sigil near the base of the blade above the guard emitting a faint contained arcane glow along the fuller; magic: restrained arcane enchantment bound into the sigil
22,Dornhal Greataxe,Axe,melee,warrior,strength,Old mountain runes hum quietly beneath the steel.,84,74,94,94,"two-handed greataxe known as the Dornhal Greataxe; massive crescent axe head with thick reinforced eye and extended cheeks for weight; cutting edge is broad and immaculate with a powerful forward sweep; long hardwood haft entering from the lower-left frame edge and visibly cropped by the border; material: layered dark tempered steel with a cool matte sheen and subtle pattern-weld striation; craftsmanship: masterful mountain-forge smithing with crisp geometry and deliberate mass distribution; details: deep runes are cut into the upper cheek and filled with dark metal inlay, dim amber light glows within the rune grooves like heat under stone, heavy collar and long langets are fitted flush, haft is a single solid piece of dark hardwood (not split, not segmented, not broken) and the wood runs straight and continuous through the axe eye with no gaps; magic: ancient rune enchantment, restrained and steady (glow only inside rune grooves, no spill)"
23,Crestfall Greatsword,Sword,melee,warrior,strength,A long blade that mourns nothing and forgets little.,88,78,98,98,two-handed enchanted greatsword known as the Crestfall Greatsword; long straight double-edged blade with deep central fuller and strong taper to a reinforced thrusting point; wide steel crossguard with downward angled quillons; large wheel pommel; long grip wrapped in dark worn leather; material: high-quality tempered steel with cool silver-grey sheen; craftsmanship: noble armory forge work from a fallen house; details: faint etched crest pattern partially worn along the blade flats with subtle pale arcane glow lingering within the engraving; magic: lingering enchantment tied to the fallen crest
24,Kingsreach Axe,Axe,melee,warrior,strength,Few blades carry the weight of a throne.,92,82,102,100,"two-handed enchanted battle axe known as the Kingsreach Axe; large crescent axe head with an extended cutting edge, thick reinforced eye, and sculpted cheeks that read as regal armor plating; long hardwood haft entering from the lower-left frame edge and visibly cropped by the border; material: high-quality enchanted steel with cool silver tone, mirror-clean edge, and controlled luminous depth in the metal; craftsmanship: royal armory masterwork with flawless symmetry, crisp facets, and refined balance despite the mass; details: gold and black inlay trace elegant sigils along the upper cheek, a bright contained golden glow lives inside the inlay grooves and threads as faint luminous veins through the steel, collar and langets are ornamented but functional, haft is lacquered dark wood with a wrapped grip and a crowned metal end-cap; magic: strong royal enchantment bound into the sigils, epic but disciplined"
25,Imperial Warblade,Sword,melee,warrior,strength,The empire’s will burns quietly in the steel.,96,86,106,100,two-handed enchanted longsword known as the Imperial Warblade; imposing straight double-edged blade with long central fuller and powerful taper toward a reinforced point; elegant imperial crossguard with flared quillons engraved with arcane filigree; large wheel pommel set with faintly glowing arcane core; long two-handed grip wrapped in dark leather; material: masterwork imperial steel with brilliant silver sheen; craftsmanship: supreme imperial armory forging enhanced by powerful court enchantments; details: glowing arcane sigils running along the fuller emitting golden-white aura with subtle energy shimmering along the cutting edge; magic: powerful imperial enchantment woven into the steel
